,Model,AmazonCounterfactualClassification,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,ArguAna,AskUbuntuDupQuestions,Banking77Classification,BiorxivClusteringP2P.v2,CQADupstackGamingRetrieval,CQADupstackUnixRetrieval,ClimateFEVERHardNegatives,FiQA2018,HotpotQAHardNegatives,ImdbClassification,MTOPDomainClassification,MassiveIntentClassification,MassiveScenarioClassification,MedrxivClusteringP2P.v2,MedrxivClusteringS2S.v2,MindSmallReranking,SCIDOCS,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSBenchmark,SprintDuplicateQuestions,StackExchangeClustering.v2,StackExchangeClusteringP2P.v2,SummEvalSummarization.v2,TRECCOVID,Touche2020Retrieval.v3,ToxicConversationsClassification,TweetSentimentExtractionClassification,TwentyNewsgroupsClustering.v2,TwitterSemEval2015,TwitterURLCorpus
93,M2V_base_glove_subword,67.15675000000002,53.0247,45.736900000000006,29.599999999999998,52.85912447389551,71.38636363636363,33.6621,34.837,17.415,15.473999999999998,11.167,34.117,66.5616,84.72985,62.94539999999999,65.75915,30.602899999999998,27.003,28.527234738258063,9.923,66.17240782538595,61.89139464648924,71.66792475528088,67.82634222687376,75.48765072240437,80.2472005970173,59.0427,66.52235871936412,85.09945680365945,42.1657,34.3905,28.619899999999998,39.983999999999995,32.073,65.6884765625,49.83305036785513,27.6401,60.22081236487149,78.79896751132692
94,potion-base-2M,63.29104999999999,51.5629,49.7898,32.622,52.90637925416103,65.17207792207793,28.091500000000003,29.583,14.642,11.008,10.219000000000001,27.577,70.35639999999998,79.05694999999999,54.02225000000001,59.27439999999999,29.9898,26.8073,28.017817065141404,8.163,62.85583348143348,62.07913034464432,75.73113726697468,69.27997439795548,76.32976845993336,82.08042618874391,62.6471,72.80800903257308,88.17695295243927,49.1211,37.2847,23.8035,40.475,32.158,66.591796875,52.524052065648,27.598499999999998,53.66111257744601,79.33675212612457
95,USER-base,67.1716,49.7383,48.083,39.926,50.3058,65.50319999999999,22.4626,33.009,18.321,10.668999999999999,8.469,32.198,58.5576,81.3381,51.89655,60.16715,28.558699999999998,24.898600000000002,27.9976,6.36,68.3356,66.3084,68.7676,67.1359,79.8783,81.88119999999999,61.6382,76.0258,83.2529,43.8431,33.4837,31.8365,20.166,28.609,62.4023,55.348,22.0216,61.724500000000006,81.6121
96,M2V_base_output,70.0448,51.5478,44.1535,29.183999999999997,51.62795895312553,71.90909090909092,28.961399999999998,34.102,17.887,14.209,10.489999999999998,31.361,65.11479999999999,84.85674999999999,63.03680000000001,66.3249,28.662,24.3909,26.982693878333546,9.668000000000001,65.43442849067297,59.97334423570035,71.81863685179427,66.99860396187162,75.4907813361932,80.61049377743727,57.82000000000001,67.2453123773366,85.05626292429993,39.2502,33.0812,26.6129,47.015,32.738,63.04199218749999,49.442558007923026,21.638099999999998,59.78262740579837,79.86337146522463
97,gemma-2b-embeddings,66.95525,62.902100000000004,57.2064,21.346999999999998,44.6082,58.425324675324674,37.7624,5.346,4.804,4.0840000000000005,1.7840000000000003,5.493,65.47319999999999,73.97255,52.74015000000001,54.80704999999999,34.6075,30.365,30.079099999999997,1.897,41.3266,42.236000000000004,41.100300000000004,36.0263,48.3298,43.7687,59.250400000000006,33.3212,49.9197,54.022099999999995,41.1372,6.794899999999999,13.111999999999998,12.584000000000001,63.1787,49.8387,21.3316,41.579899999999995,69.3589
98,rubert-tiny-turbo,70.32835,50.017500000000005,47.6816,32.031,49.4778,59.86363636363635,21.853,29.03,16.884,7.376,7.179,36.082,58.35799999999999,78.16035,50.42423995334546,61.053858807814976,26.1544,23.2987,29.136699999999998,4.072,68.4327,66.1687,60.3443,66.1225,77.4073,76.0153,47.062,68.9725,91.9439,41.5677,34.264,31.328899999999997,17.53,14.201,57.7734375,55.29994340690435,20.602899999999998,56.8693,79.673
99,LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse,72.92537313432835,,,43.644,52.696972763822615,78.99675324675324,,33.726,15.629000000000001,,16.986,,71.9232,91.24259005927954,69.99327505043712,75.1546738399462,,,29.520993847103533,5.531,69.34396953516386,60.094374065360746,72.51503781013379,66.6954698644186,77.69462578028768,81.67242768943406,,73.36074244064153,77.36426466374054,,,,56.041,,68.405,56.080928126768534,,61.5394989621502,77.72774861009667
100,inf-retriever-v1,,,,84.855,,,,64.85300000000001,45.698,41.596,62.35000000000001,82.272,,,,,,,,30.775999999999996,,,,,,,,,,,,,75.09700000000001,,,,,,
101,rubert-tiny,68.0821,51.402300000000004,49.1871,24.163999999999998,47.4656,61.026,23.150499999999997,7.795000000000001,5.236,2.7359999999999998,1.923,4.824,60.520799999999994,80.7871,54.0937,58.65585,27.452700000000004,23.8342,25.9849,0.8630000000000001,60.3934,49.6569,63.3996,54.883,67.318,67.6558,52.6317,55.8644,53.272600000000004,46.4793,34.185300000000005,29.5885,9.474,4.747,59.95120000000001,50.6508,17.759900000000002,54.50899999999999,71.97059999999999
102,Arabic-mpnet-base-all-nli-triplet,66.79105,50.11409999999999,50.15540000000001,18.862000000000002,47.929300000000005,63.8929,18.9942,8.757,6.173,3.3369999999999997,1.4569999999999999,10.816,56.6356,72.06330000000001,49.12515,52.6105,25.6811,22.755,25.1657,2.007,68.9386835022992,68.71669873972587,56.04247097489131,58.80575077741524,73.74453589715445,78.3826,57.2885,67.56341643518167,83.6486,38.8088,33.8345,29.600900000000003,13.531,2.82,59.0869,45.5207,12.557199999999998,49.1305,77.5046
103,rubert-tiny2,66.11195,50.8803,48.3824,27.656999999999996,48.1064,50.9675,24.6129,13.979,8.068999999999999,3.4979999999999998,2.421,15.321000000000002,60.714400000000005,76.25115,44.6675,54.953149999999994,26.866,23.4544,26.735599999999998,1.185,61.065599999999996,65.1195,59.965900000000005,60.2823,74.37660000000001,73.6622,49.2501,63.0216,71.1581,43.2543,33.3389,23.4926,8.672,4.9959999999999996,57.4365,50.3679,17.4795,55.491800000000005,77.9789
